fecha,municipio,habitantes,casos_14d,casos_7d
2021-04-07,Samos,1278,,0
2021-04-08,Samos,1278,,0
2021-04-09,Samos,1278,,0
2021-04-10,Samos,1278,0,0
2021-04-11,Samos,1278,0,0
2021-04-12,Samos,1278,0,0
2021-04-13,Samos,1278,0,0
2021-04-14,Samos,1278,0,0
2021-04-15,Samos,1278,0,0
2021-04-16,Samos,1278,0,0
2021-04-17,Samos,1278,0,0
2021-04-18,Samos,1278,0,0
2021-04-19,Samos,1278,0,0
2021-04-20,Samos,1278,0,0
2021-04-21,Samos,1278,0,0
2021-04-22,Samos,1278,0,0
2021-04-23,Samos,1278,0,0
2021-04-24,Samos,1278,0,0
2021-04-25,Samos,1278,0,0
2021-04-26,Samos,1278,0,0
2021-04-27,Samos,1278,0,0
2021-04-28,Samos,1278,0,0
2021-04-29,Samos,1278,0,0
2021-04-30,Samos,1278,0,0
2021-05-01,Samos,1278,0,0
2021-05-02,Samos,1278,0,0
2021-05-03,Samos,1278,0,0
2021-05-04,Samos,1278,0,0
2021-05-05,Samos,1278,0,0
2021-05-06,Samos,1278,0,0
2021-05-07,Samos,1278,0,0
2021-05-08,Samos,1278,0,0
2021-05-09,Samos,1278,0,0
2021-05-10,Samos,1278,0,0
2021-05-11,Samos,1278,0,0
2021-05-12,Samos,1278,0,0
2021-05-13,Samos,1278,0,0
2021-05-14,Samos,1278,0,0
2021-05-15,Samos,1278,0,0
2021-05-16,Samos,1278,0,0
2021-05-17,Samos,1278,0,0
2021-05-18,Samos,1278,0,0
2021-05-19,Samos,1278,0,0
2021-05-20,Samos,1278,0,0
2021-05-21,Samos,1278,0,0
2021-05-22,Samos,1278,0,0
2021-05-23,Samos,1278,0,0
2021-05-24,Samos,1278,0,0
2021-05-25,Samos,1278,0,0
2021-05-26,Samos,1278,0,0
2021-05-27,Samos,1278,0,0
2021-05-28,Samos,1278,0,0
2021-05-29,Samos,1278,0,0
2021-05-30,Samos,1278,0,0
2021-05-31,Samos,1278,0,0
2021-06-01,Samos,1278,0,0
2021-06-02,Samos,1278,0,0
2021-06-03,Samos,1278,0,0
2021-06-04,Samos,1278,0,0
2021-06-05,Samos,1278,0,0
2021-06-06,Samos,1278,0,0
2021-06-07,Samos,1278,0,0
2021-06-08,Samos,1278,0,0
2021-06-09,Samos,1278,0,0
2021-06-10,Samos,1278,0,0
2021-06-11,Samos,1278,0,0
2021-06-12,Samos,1278,0,0
2021-06-13,Samos,1278,0,0
2021-06-14,Samos,1278,0,0
2021-06-15,Samos,1278,0,0
2021-06-16,Samos,1278,0,0
2021-06-17,Samos,1278,0,0
2021-06-18,Samos,1278,0,0
2021-06-19,Samos,1278,0,0
2021-06-20,Samos,1278,0,0
2021-06-21,Samos,1278,0,0
2021-06-22,Samos,1278,0,0
2021-06-23,Samos,1278,0,0
2021-06-24,Samos,1278,0,0
2021-06-25,Samos,1278,0,0
2021-06-26,Samos,1278,0,0
2021-06-27,Samos,1278,0,0
2021-06-28,Samos,1278,0,0
2021-06-29,Samos,1278,0,0
2021-06-30,Samos,1278,0,0
2021-07-01,Samos,1278,0,0
2021-07-02,Samos,1278,0,0
2021-07-03,Samos,1278,0,0
2021-07-04,Samos,1278,0,0
2021-07-05,Samos,1278,0,0
2021-07-06,Samos,1278,0,0
2021-07-07,Samos,1278,0,0
2021-07-08,Samos,1278,0,0
2021-07-09,Samos,1278,0,0
2021-07-10,Samos,1278,0,0
2021-07-11,Samos,1278,0,0
2021-07-12,Samos,1278,0,0
2021-07-13,Samos,1278,0,0
2021-07-14,Samos,1278,0,0
2021-07-15,Samos,1278,0,0
2021-07-16,Samos,1278,0,0
2021-07-17,Samos,1278,,
2021-07-18,Samos,1278,,
2021-07-19,Samos,1278,,
2021-07-20,Samos,1278,,
2021-07-21,Samos,1278,,
2021-07-22,Samos,1278,,
2021-07-23,Samos,1278,,
2021-07-24,Samos,1278,,0
2021-07-25,Samos,1278,,0
2021-07-26,Samos,1278,,0
2021-07-27,Samos,1278,,
2021-07-28,Samos,1278,,
2021-07-29,Samos,1278,,
2021-07-30,Samos,1278,,
2021-07-31,Samos,1278,,
2021-08-01,Samos,1278,,
2021-08-02,Samos,1278,,
2021-08-03,Samos,1278,,
2021-08-04,Samos,1278,,
2021-08-05,Samos,1278,,0
2021-08-06,Samos,1278,,0
2021-08-07,Samos,1278,,0
2021-08-08,Samos,1278,,0
2021-08-09,Samos,1278,,0
2021-08-10,Samos,1278,,0
2021-08-11,Samos,1278,,
2021-08-12,Samos,1278,,
2021-08-13,Samos,1278,,
2021-08-14,Samos,1278,,
2021-08-15,Samos,1278,,
2021-08-16,Samos,1278,,
2021-08-17,Samos,1278,,
2021-08-18,Samos,1278,,
2021-08-19,Samos,1278,,
2021-08-20,Samos,1278,,
2021-08-21,Samos,1278,,
2021-08-22,Samos,1278,,
2021-08-23,Samos,1278,,
2021-08-24,Samos,1278,,
2021-08-25,Samos,1278,,
2021-08-26,Samos,1278,,
2021-08-27,Samos,1278,,
2021-08-28,Samos,1278,,
2021-08-29,Samos,1278,,
2021-08-30,Samos,1278,,
2021-08-31,Samos,1278,,
2021-09-01,Samos,1278,,
2021-09-02,Samos,1278,,
2021-09-03,Samos,1278,,0
2021-09-04,Samos,1278,,0
2021-09-05,Samos,1278,,0
2021-09-06,Samos,1278,,0
2021-09-07,Samos,1278,,0
2021-09-08,Samos,1278,,0
2021-09-09,Samos,1278,,0
2021-09-10,Samos,1278,0,0
2021-09-11,Samos,1278,0,0
2021-09-12,Samos,1278,0,0
2021-09-13,Samos,1278,0,0
2021-09-14,Samos,1278,0,0
2021-09-15,Samos,1278,0,0
2021-09-16,Samos,1278,0,0
2021-09-17,Samos,1278,0,0
2021-09-18,Samos,1278,0,0
2021-09-19,Samos,1278,0,0
2021-09-20,Samos,1278,0,0
2021-09-21,Samos,1278,0,0
2021-09-22,Samos,1278,0,0
2021-09-23,Samos,1278,0,0
2021-09-24,Samos,1278,0,0
2021-09-25,Samos,1278,0,0
2021-09-26,Samos,1278,0,0
2021-09-27,Samos,1278,0,0
2021-09-28,Samos,1278,0,0
2021-09-29,Samos,1278,0,0
2021-09-30,Samos,1278,0,0
2021-10-01,Samos,1278,0,0
2021-10-02,Samos,1278,0,0
2021-10-03,Samos,1278,0,0
2021-10-04,Samos,1278,0,0
2021-10-05,Samos,1278,0,0
2021-10-06,Samos,1278,0,0
2021-10-07,Samos,1278,0,0
2021-10-08,Samos,1278,0,0
2021-10-09,Samos,1278,0,0
2021-10-10,Samos,1278,0,0
2021-10-11,Samos,1278,0,0
2021-10-12,Samos,1278,0,0
2021-10-13,Samos,1278,0,0
2021-10-14,Samos,1278,0,0
2021-10-15,Samos,1278,0,0
2021-10-16,Samos,1278,0,0
2021-10-17,Samos,1278,0,0
2021-10-18,Samos,1278,0,0
2021-10-19,Samos,1278,0,0
2021-10-20,Samos,1278,0,0
2021-10-21,Samos,1278,0,0
2021-10-22,Samos,1278,0,0
2021-10-23,Samos,1278,0,0
2021-10-24,Samos,1278,0,0
2021-10-25,Samos,1278,0,0
2021-10-26,Samos,1278,0,0
2021-10-27,Samos,1278,0,0
2021-10-28,Samos,1278,0,0
2021-10-29,Samos,1278,0,0
2021-10-30,Samos,1278,0,0
2021-10-31,Samos,1278,0,0
2021-11-01,Samos,1278,0,0
2021-11-02,Samos,1278,0,0
2021-11-03,Samos,1278,0,0
2021-11-04,Samos,1278,0,0
2021-11-05,Samos,1278,0,0
