fecha,municipio,habitantes,casos_14d,casos_7d
2021-03-22,Mesía,2530,,
2021-03-23,Mesía,2530,,
2021-03-24,Mesía,2530,,
2021-03-25,Mesía,2530,,
2021-03-26,Mesía,2530,,
2021-03-27,Mesía,2530,,
2021-03-28,Mesía,2530,,
2021-03-29,Mesía,2530,,
2021-03-30,Mesía,2530,,
2021-03-31,Mesía,2530,,
2021-04-01,Mesía,2530,,
2021-04-02,Mesía,2530,,
2021-04-03,Mesía,2530,,
2021-04-04,Mesía,2530,,
2021-04-05,Mesía,2530,,0
2021-04-06,Mesía,2530,,0
2021-04-07,Mesía,2530,,0
2021-04-08,Mesía,2530,,0
2021-04-09,Mesía,2530,,0
2021-04-10,Mesía,2530,,0
2021-04-11,Mesía,2530,,0
2021-04-12,Mesía,2530,0,0
2021-04-13,Mesía,2530,0,0
2021-04-14,Mesía,2530,0,0
2021-04-15,Mesía,2530,0,0
2021-04-16,Mesía,2530,0,0
2021-04-17,Mesía,2530,,
2021-04-18,Mesía,2530,,
2021-04-19,Mesía,2530,,
2021-04-20,Mesía,2530,,
2021-04-21,Mesía,2530,,
2021-04-22,Mesía,2530,,
2021-04-23,Mesía,2530,,
2021-04-24,Mesía,2530,,
2021-04-25,Mesía,2530,,
2021-04-26,Mesía,2530,10,
2021-04-27,Mesía,2530,10,
2021-04-28,Mesía,2530,10,
2021-04-29,Mesía,2530,10,
2021-04-30,Mesía,2530,10,
2021-05-01,Mesía,2530,10,
2021-05-02,Mesía,2530,11,
2021-05-03,Mesía,2530,10,
2021-05-04,Mesía,2530,10,
2021-05-05,Mesía,2530,10,
2021-05-06,Mesía,2530,10,
2021-05-07,Mesía,2530,10,
2021-05-08,Mesía,2530,,
2021-05-09,Mesía,2530,,0
2021-05-10,Mesía,2530,,
2021-05-11,Mesía,2530,,
2021-05-12,Mesía,2530,,
2021-05-13,Mesía,2530,,
2021-05-14,Mesía,2530,,
2021-05-15,Mesía,2530,,
2021-05-16,Mesía,2530,,
2021-05-17,Mesía,2530,,0
2021-05-18,Mesía,2530,,0
2021-05-19,Mesía,2530,,0
2021-05-20,Mesía,2530,,0
2021-05-21,Mesía,2530,,0
2021-05-22,Mesía,2530,,0
2021-05-23,Mesía,2530,,0
2021-05-24,Mesía,2530,0,0
2021-05-25,Mesía,2530,0,0
2021-05-26,Mesía,2530,0,0
2021-05-27,Mesía,2530,0,0
2021-05-28,Mesía,2530,0,0
2021-05-29,Mesía,2530,0,0
2021-05-30,Mesía,2530,0,0
2021-05-31,Mesía,2530,0,0
2021-06-01,Mesía,2530,0,0
2021-06-02,Mesía,2530,0,0
2021-06-03,Mesía,2530,0,0
2021-06-04,Mesía,2530,0,0
2021-06-05,Mesía,2530,0,0
2021-06-06,Mesía,2530,0,0
2021-06-07,Mesía,2530,0,0
2021-06-08,Mesía,2530,0,0
2021-06-09,Mesía,2530,0,0
2021-06-10,Mesía,2530,0,0
2021-06-11,Mesía,2530,0,0
2021-06-12,Mesía,2530,0,0
2021-06-13,Mesía,2530,0,0
2021-06-14,Mesía,2530,0,0
2021-06-15,Mesía,2530,0,0
2021-06-16,Mesía,2530,0,0
2021-06-17,Mesía,2530,0,0
2021-06-18,Mesía,2530,,
2021-06-19,Mesía,2530,,
2021-06-20,Mesía,2530,,
2021-06-21,Mesía,2530,,
2021-06-22,Mesía,2530,,
2021-06-23,Mesía,2530,,
2021-06-24,Mesía,2530,,
2021-06-25,Mesía,2530,,0
2021-06-26,Mesía,2530,,0
2021-06-27,Mesía,2530,,0
2021-06-28,Mesía,2530,,0
2021-06-29,Mesía,2530,,0
2021-06-30,Mesía,2530,,0
2021-07-01,Mesía,2530,,0
2021-07-02,Mesía,2530,0,0
2021-07-03,Mesía,2530,0,0
2021-07-04,Mesía,2530,0,0
2021-07-05,Mesía,2530,0,0
2021-07-06,Mesía,2530,0,0
2021-07-07,Mesía,2530,0,0
2021-07-08,Mesía,2530,0,0
2021-07-09,Mesía,2530,0,0
2021-07-10,Mesía,2530,0,0
2021-07-11,Mesía,2530,0,0
2021-07-12,Mesía,2530,0,0
2021-07-13,Mesía,2530,0,0
2021-07-14,Mesía,2530,,
2021-07-15,Mesía,2530,,
2021-07-16,Mesía,2530,,
2021-07-17,Mesía,2530,,
2021-07-18,Mesía,2530,,
2021-07-19,Mesía,2530,,
2021-07-20,Mesía,2530,,
2021-07-21,Mesía,2530,,0
2021-07-22,Mesía,2530,,0
2021-07-23,Mesía,2530,,0
2021-07-24,Mesía,2530,,
2021-07-25,Mesía,2530,,
2021-07-26,Mesía,2530,,
2021-07-27,Mesía,2530,,
2021-07-28,Mesía,2530,,
2021-07-29,Mesía,2530,,
2021-07-30,Mesía,2530,,
2021-07-31,Mesía,2530,,
2021-08-01,Mesía,2530,,0
2021-08-02,Mesía,2530,,
2021-08-03,Mesía,2530,,
2021-08-04,Mesía,2530,,
2021-08-05,Mesía,2530,,
2021-08-06,Mesía,2530,,
2021-08-07,Mesía,2530,,
2021-08-08,Mesía,2530,,
2021-08-09,Mesía,2530,,0
2021-08-10,Mesía,2530,,0
2021-08-11,Mesía,2530,,
2021-08-12,Mesía,2530,,
2021-08-13,Mesía,2530,,
2021-08-14,Mesía,2530,,
2021-08-15,Mesía,2530,,
2021-08-16,Mesía,2530,,
2021-08-17,Mesía,2530,,
